City,Max Irradiance (W/m2),Mean Irradiance (W/m2),PV Price (USD/kW),BESS Price (USD/kWh),BESS Size (kWh),Fuel Price,Load Shedding (%),Renewable Rate (%),LCOE (USD/kWh)
"Málaga,Spain",1.12296,0.26039760958904107,0,0,0,2.0,0.0,0.0,0.783
"Málaga,Spain",1.12296,0.26039760958904107,0,0,0,2.5,0.0,0.0,0.903
"Palma,Spain",1.1201199999999998,0.24392330479452054,0,0,0,1.5,0.0,0.0,0.663
"Palma,Spain",1.1201199999999998,0.24392330479452054,0,0,0,2.0,0.0,0.0,0.783
"Palma,Spain",1.1201199999999998,0.24392330479452054,0,0,0,2.5,0.0,0.0,0.903
"Bilbao,Spain",1.11122,0.17245752168949774,0,0,0,1.5,0.0,0.0,0.663
"Bilbao,Spain",1.11122,0.17245752168949774,0,0,0,2.0,0.0,0.0,0.783
"Bilbao,Spain",1.11122,0.17245752168949774,0,0,0,2.5,0.0,0.0,0.903
"Thessaloniki,Greece",1.0923,0.21864828196347033,0,0,0,1.5,0.0,0.0,0.663
"Thessaloniki,Greece",1.0923,0.21864828196347033,0,0,0,2.0,0.0,0.0,0.783
"Thessaloniki,Greece",1.0923,0.21864828196347033,0,0,0,2.5,0.0,0.0,0.903
